UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	85	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	160	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £61,618	20	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2019/20	Total	265	NA
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	5	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	90	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	200	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	10	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Female	2019/20	Total	305	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	55	Band_4
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	50	Band_5
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £61,618	10	Band_6
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2019/20	Total	120	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Contract salary < £19,202	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	10	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £61,618	15	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2019/20	Total	25	NA
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Contract salary < £19,202	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2019/20	Total	5	NA
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Contract salary < £19,202	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £61,618	40	Band_6
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2019/20	Total	40	NA
10005343	Queen's University Belfast	Teaching only	Professor	Female	2019/20	Contract salary < £19,202	0	Band_1
