UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Contract salary < £21,197	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Contract salary ≥ £21,197 and < £27,131	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Contract salary ≥ £27,131 and < £36,686	10	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Contract salary ≥ £36,686 and < £48,841	75	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Contract salary ≥ £48,841 and < £65,578	135	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Contract salary ≥ £65,578	165	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2022/23	Total	385	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Contract salary < £21,197	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Contract salary ≥ £21,197 and < £27,131	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Contract salary ≥ £27,131 and < £36,686	400	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Contract salary ≥ £36,686 and < £48,841	930	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Contract salary ≥ £48,841 and < £65,578	295	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Contract salary ≥ £65,578	70	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2022/23	Total	1700	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Contract salary < £21,197	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Contract salary ≥ £21,197 and < £27,131	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Contract salary ≥ £27,131 and < £36,686	10	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Contract salary ≥ £36,686 and < £48,841	25	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Contract salary ≥ £48,841 and < £65,578	10	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Contract salary ≥ £65,578	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2022/23	Total	45	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Contract salary < £21,197	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Contract salary ≥ £21,197 and < £27,131	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Contract salary ≥ £27,131 and < £36,686	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Contract salary ≥ £36,686 and < £48,841	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Contract salary ≥ £48,841 and < £65,578	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Contract salary ≥ £65,578	35	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2022/23	Total	35	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2022/23	Contract salary < £21,197	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2022/23	Contract salary ≥ £21,197 and < £27,131	0	Band_2
