UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Contract salary < £18,777	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	95	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	125	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Contract salary ≥ £60,410	15	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2017/18	Total	235	NA
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Contract salary < £18,777	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	90	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	185	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	10	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Contract salary ≥ £60,410	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Female	2017/18	Total	285	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Contract salary < £18,777	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	25	Band_4
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £44,992 and < £60,410	55	Band_5
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Contract salary ≥ £60,410	10	Band_6
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2017/18	Total	90	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2017/18	Contract salary < £18,777	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £18,777 and < £24,983	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £24,983 and < £33,518	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2017/18	Contract salary ≥ £33,518 and < £44,992	0	Band_4
