UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	10	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	40	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	95	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £59,400	130	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2016/17	Total	270	NA
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Contract salary ≥ £59,400	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2016/17	Total	0	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	440	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	980	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	245	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Contract salary ≥ £59,400	45	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2016/17	Total	1710	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	5	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	15	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	0	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £59,400	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2016/17	Total	20	NA
