UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	110	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	110	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £58,754	10	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2015/16	Total	230	NA
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	55	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	165	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	10	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Contract salary ≥ £58,754	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Female	2015/16	Total	235	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	15	Band_4
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	65	Band_5
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £58,754	5	Band_6
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2015/16	Total	80	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	5	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £58,754	20	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2015/16	Total	25	NA
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	5	Band_5
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Contract salary ≥ £58,754	0	Band_6
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2015/16	Total	5	NA
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Contract salary ≥ £58,754	30	Band_6
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2015/16	Total	30	NA
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	130	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	225	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Contract salary ≥ £58,754	25	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2015/16	Total	380	NA
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	5	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	80	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	200	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	20	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Contract salary ≥ £58,754	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Male	2015/16	Total	305	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	20	Band_4
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	45	Band_5
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Contract salary ≥ £58,754	10	Band_6
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2015/16	Total	75	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	15	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Contract salary ≥ £58,754	55	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2015/16	Total	70	NA
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Contract salary ≥ £58,754	0	Band_6
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2015/16	Total	0	NA
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Contract salary ≥ £58,754	5	Band_6
10005343	Queen's University Belfast	Teaching only	Other senior academic	Male	2015/16	Total	5	NA
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Contract salary ≥ £58,754	110	Band_6
10005343	Queen's University Belfast	Both teaching and research	Professor	Male	2015/16	Total	110	NA
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Contract salary ≥ £58,754	5	Band_6
10005343	Queen's University Belfast	Teaching only	Professor	Male	2015/16	Total	5	NA
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Contract salary ≥ £32,600 and < £43,758	235	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Contract salary ≥ £43,758 and < £58,754	335	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Contract salary ≥ £58,754	35	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	All	2015/16	Total	610	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Contract salary ≥ £43,758 and < £58,754	20	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Contract salary ≥ £58,754	75	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	All	2015/16	Total	95	NA
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Contract salary ≥ £58,754	140	Band_6
10005343	Queen's University Belfast	Both teaching and research	Professor	All	2015/16	Total	140	NA
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Contract salary ≥ £58,754	0	Band_6
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	All	2015/16	Total	0	NA
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Contract salary ≥ £18,211 and < £24,298	5	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Contract salary ≥ £24,298 and < £32,600	135	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Contract salary ≥ £32,600 and < £43,758	365	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Contract salary ≥ £43,758 and < £58,754	35	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Contract salary ≥ £58,754	5	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	All	2015/16	Total	540	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	All	2015/16	Contract salary < £18,211	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	All	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	All	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	All	2015/16	Contract salary ≥ £32,600 and < £43,758	35	Band_4
