UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Contract salary < £18,211	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	10	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	45	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	95	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Contract salary ≥ £58,754	130	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2015/16	Total	280	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Contract salary < £18,211	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	445	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	995	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	265	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Contract salary ≥ £58,754	60	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2015/16	Total	1760	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Contract salary < £18,211	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	15	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Contract salary ≥ £58,754	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2015/16	Total	20	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2015/16	Contract salary < £18,211	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £18,211 and < £24,298	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £24,298 and < £32,600	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £32,600 and < £43,758	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £43,758 and < £58,754	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2015/16	Contract salary ≥ £58,754	20	Band_6
