UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Contract salary ≥ £34,189 and < £45,892	50	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Contract salary ≥ £45,892 and < £61,618	105	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Contract salary ≥ £61,618	140	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2018/19	Total	300	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Contract salary ≥ £25,482 and < £34,189	420	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Contract salary ≥ £34,189 and < £45,892	965	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Contract salary ≥ £45,892 and < £61,618	265	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Contract salary ≥ £61,618	50	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2018/19	Total	1700	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Contract salary ≥ £34,189 and < £45,892	20	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2018/19	Total	30	NA
