UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	100	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	115	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Contract salary ≥ £59,400	10	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Female	2016/17	Total	230	NA
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	55	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	160	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	10	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Contract salary ≥ £59,400	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Female	2016/17	Total	230	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	20	Band_4
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	50	Band_5
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Contract salary ≥ £59,400	5	Band_6
10005343	Queen's University Belfast	Teaching only	Other contract level	Female	2016/17	Total	75	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	5	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Contract salary ≥ £59,400	15	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Female	2016/17	Total	20	NA
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	0	Band_4
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	0	Band_5
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Contract salary ≥ £59,400	0	Band_6
10005343	Queen's University Belfast	Teaching only	Other senior academic	Female	2016/17	Total	5	NA
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Contract salary ≥ £32,958 and < £44,240	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Contract salary ≥ £44,240 and < £59,400	0	Band_5
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Contract salary ≥ £59,400	30	Band_6
10005343	Queen's University Belfast	Both teaching and research	Professor	Female	2016/17	Total	30	NA
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Contract salary ≥ £32,958 and < £44,240	105	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Contract salary ≥ £44,240 and < £59,400	225	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Contract salary ≥ £59,400	25	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other contract level	Male	2016/17	Total	355	NA
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Contract salary ≥ £32,958 and < £44,240	0	Band_4
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Contract salary ≥ £44,240 and < £59,400	0	Band_5
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Contract salary ≥ £59,400	0	Band_6
10005343	Queen's University Belfast	Neither teaching nor research	Other contract level	Male	2016/17	Total	0	NA
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Contract salary ≥ £18,412 and < £24,565	10	Band_2
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Contract salary ≥ £24,565 and < £32,958	80	Band_3
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Contract salary ≥ £32,958 and < £44,240	195	Band_4
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Contract salary ≥ £44,240 and < £59,400	20	Band_5
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Contract salary ≥ £59,400	0	Band_6
10005343	Queen's University Belfast	Research only	Other contract level	Male	2016/17	Total	305	NA
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Contract salary ≥ £32,958 and < £44,240	20	Band_4
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Contract salary ≥ £44,240 and < £59,400	35	Band_5
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Contract salary ≥ £59,400	15	Band_6
10005343	Queen's University Belfast	Teaching only	Other contract level	Male	2016/17	Total	75	NA
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Contract salary < £18,412	0	Band_1
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Contract salary ≥ £18,412 and < £24,565	0	Band_2
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Contract salary ≥ £24,565 and < £32,958	0	Band_3
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Contract salary ≥ £32,958 and < £44,240	0	Band_4
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Contract salary ≥ £44,240 and < £59,400	10	Band_5
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Contract salary ≥ £59,400	50	Band_6
10005343	Queen's University Belfast	Both teaching and research	Other senior academic	Male	2016/17	Total	65	NA
10005343	Queen's University Belfast	Neither teaching nor research	Other senior academic	Male	2016/17	Contract salary < £18,412	0	Band_1
